code,prefecture,men,women
1,北海道,179,127
2,青森県,40,25
3,岩手県,33,28
4,宮城県,35,32
5,秋田県,25,21
6,山形県,35,28
7,福島県,59,41
8,茨城県,44,42
9,栃木県,25,25
10,群馬県,35,26
11,埼玉県,63,62
12,千葉県,54,54
13,東京都,62,58
14,神奈川県,33,33
15,新潟県,30,29
16,富山県,15,13
17,石川県,19,15
18,福井県,17,15
19,山梨県,27,19
20,長野県,77,70
21,岐阜県,42,37
22,静岡県,35,31
23,愛知県,54,52
24,三重県,29,28
25,滋賀県,19,17
26,京都府,26,23
27,大阪府,43,43
28,兵庫県,41,40
29,奈良県,39,26
30,和歌山県,30,23
31,鳥取県,19,15
32,島根県,19,18
33,岡山県,27,25
34,広島県,23,23
35,山口県,19,18
36,徳島県,24,19
37,香川県,17,17
38,愛媛県,20,19
39,高知県,34,24
40,福岡県,60,56
41,佐賀県,20,17
42,長崎県,21,17
43,熊本県,45,36
44,大分県,18,15
45,宮崎県,26,18
46,鹿児島県,43,30
47,沖縄県,41,34
